PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,AgeMissing,CabinDeck,Survived
1,3,male,22.0,1,0,7.25,S,Mr,0,Unknown,0
2,1,female,38.0,1,0,71.2833,C,Mrs,0,C,1
3,3,female,26.0,0,0,7.925,S,Miss,0,Unknown,1
4,1,female,35.0,1,0,53.1,S,Mrs,0,C,1
5,3,male,35.0,0,0,8.05,S,Mr,0,Unknown,0
6,3,male,25.0,0,0,8.4583,Q,Mr,1,Unknown,0
7,1,male,54.0,0,0,51.8625,S,Mr,0,E,0
8,3,male,2.0,3,1,21.075,S,Master,0,Unknown,0
9,3,female,27.0,0,2,11.1333,S,Mrs,0,Unknown,1
10,2,female,14.0,1,0,30.0708,C,Mrs,0,Unknown,1
11,3,female,4.0,1,1,16.7,S,Miss,0,G,1
12,1,female,58.0,0,0,26.55,S,Miss,0,C,1
13,3,male,20.0,0,0,8.05,S,Mr,0,Unknown,0
14,3,male,39.0,1,5,31.275,S,Mr,0,Unknown,0
15,3,female,14.0,0,0,7.8542,S,Miss,0,Unknown,0
16,2,female,55.0,0,0,16.0,S,Mrs,0,Unknown,1
17,3,male,2.0,4,1,29.125,Q,Master,0,Unknown,0
18,2,male,30.0,0,0,13.0,S,Mr,1,Unknown,1
19,3,female,31.0,1,0,18.0,S,Mrs,0,Unknown,0
20,3,female,21.5,0,0,7.225,C,Mrs,1,Unknown,1
21,2,male,35.0,0,0,26.0,S,Mr,0,Unknown,0
22,2,male,34.0,0,0,13.0,S,Mr,0,D,1
23,3,female,15.0,0,0,8.0292,Q,Miss,0,Unknown,1
24,1,male,28.0,0,0,35.5,S,Mr,0,A,1
25,3,female,8.0,3,1,21.075,S,Miss,0,Unknown,0
26,3,female,38.0,1,5,31.3875,S,Mrs,0,Unknown,1
27,3,male,25.0,0,0,7.225,C,Mr,1,Unknown,0
28,1,male,19.0,3,2,263.0,S,Mr,0,C,0
29,3,female,21.5,0,0,7.8792,Q,Miss,1,Unknown,1
30,3,male,25.0,0,0,7.8958,S,Mr,1,Unknown,0
31,1,male,40.0,0,0,27.7208,C,Royalty,0,Unknown,0
32,1,female,35.0,1,0,146.5208,C,Mrs,1,B,1
