PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeMissing,Ticket_clean,TicketPrefix,FareMissing,CabinKnown,CabinDeck,FamilySize,IsAlone,LogFare,FarePerPerson,TicketGroupSize,TicketGroupFarePerPerson,AgeBand,FareBand,Sex_Pclass,Sex_AgeBand,Embarked_Pclass,Pclass_FareBand,Survived
1,3,male,22.0,1,0,7.25,S,0,A 5 21171,A,0,0,Unknown,2,0,2.110213200346589,3.625,1,7.25,"(20.0, 25.0]","(-0.001, 7.854]",male_3,"male_(20.0, 25.0]",S_3,"3_(-0.001, 7.854]",0
2,1,female,38.0,1,0,71.2833,C,0,PC 17599,PC,0,1,C,2,0,4.2805931204649,35.64165,1,71.2833,"(30.0, 40.0]","(39.688, 512.329]",female_1,"female_(30.0, 40.0]",C_1,"1_(39.688, 512.329]",1
3,3,female,26.0,0,0,7.925,S,0,STON O2 3101282,STON,0,0,Unknown,1,1,2.188856327665703,7.925,1,7.925,"(25.0, 30.0]","(7.854, 10.5]",female_3,"female_(25.0, 30.0]",S_3,"3_(7.854, 10.5]",1
4,1,female,35.0,1,0,53.1,S,0,113803,NONE,0,1,C,2,0,3.990834185852436,26.55,2,26.55,"(30.0, 40.0]","(39.688, 512.329]",female_1,"female_(30.0, 40.0]",S_1,"1_(39.688, 512.329]",1
5,3,male,35.0,0,0,8.05,S,0,373450,NONE,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(30.0, 40.0]","(7.854, 10.5]",male_3,"male_(30.0, 40.0]",S_3,"3_(7.854, 10.5]",0
6,3,male,25.0,0,0,8.4583,Q,1,330877,NONE,0,0,Unknown,1,1,2.246892662898172,8.4583,1,8.4583,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",Q_3,"3_(7.854, 10.5]",0
7,1,male,54.0,0,0,51.8625,S,0,17463,NONE,0,1,E,1,1,3.967694202798607,51.8625,1,51.8625,"(40.0, 80.0]","(39.688, 512.329]",male_1,"male_(40.0, 80.0]",S_1,"1_(39.688, 512.329]",0
8,3,male,2.0,3,1,21.075,S,0,349909,NONE,0,0,Unknown,5,0,3.0944457464900235,4.215,4,5.26875,"(0.419, 20.0]","(10.5, 21.679]",male_3,"male_(0.419, 20.0]",S_3,"3_(10.5, 21.679]",0
9,3,female,27.0,0,2,11.1333,S,0,347742,NONE,0,0,Unknown,3,0,2.495953738718064,3.7111,3,3.7111,"(25.0, 30.0]","(10.5, 21.679]",female_3,"female_(25.0, 30.0]",S_3,"3_(10.5, 21.679]",1
10,2,female,14.0,1,0,30.0708,C,0,237736,NONE,0,0,Unknown,2,0,3.436268471383741,15.0354,2,15.0354,"(0.419, 20.0]","(21.679, 39.688]",female_2,"female_(0.419, 20.0]",C_2,"2_(21.679, 39.688]",1
11,3,female,4.0,1,1,16.7,S,0,PP 9549,OTHER,0,1,G,3,0,2.873564639579784,5.566666666666666,2,8.35,"(0.419, 20.0]","(10.5, 21.679]",female_3,"female_(0.419, 20.0]",S_3,"3_(10.5, 21.679]",1
12,1,female,58.0,0,0,26.55,S,0,113783,NONE,0,1,C,1,1,3.316002535598924,26.55,1,26.55,"(40.0, 80.0]","(21.679, 39.688]",female_1,"female_(40.0, 80.0]",S_1,"1_(21.679, 39.688]",1
13,3,male,20.0,0,0,8.05,S,0,A 5 2151,A,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(0.419, 20.0]","(7.854, 10.5]",male_3,"male_(0.419, 20.0]",S_3,"3_(7.854, 10.5]",0
14,3,male,39.0,1,5,31.275,S,0,347082,NONE,0,0,Unknown,7,0,3.4742929367327062,4.467857142857143,7,4.467857142857143,"(30.0, 40.0]","(21.679, 39.688]",male_3,"male_(30.0, 40.0]",S_3,"3_(21.679, 39.688]",0
15,3,female,14.0,0,0,7.8542,S,0,350406,NONE,0,0,Unknown,1,1,2.180891922715322,7.8542,1,7.8542,"(0.419, 20.0]","(-0.001, 7.854]",female_3,"female_(0.419, 20.0]",S_3,"3_(-0.001, 7.854]",0
16,2,female,55.0,0,0,16.0,S,0,248706,NONE,0,0,Unknown,1,1,2.833213344056216,16.0,1,16.0,"(40.0, 80.0]","(10.5, 21.679]",female_2,"female_(40.0, 80.0]",S_2,"2_(10.5, 21.679]",1
17,3,male,2.0,4,1,29.125,Q,0,382652,NONE,0,0,Unknown,6,0,3.405355391810819,4.854166666666667,5,5.825,"(0.419, 20.0]","(21.679, 39.688]",male_3,"male_(0.419, 20.0]",Q_3,"3_(21.679, 39.688]",0
18,2,male,30.0,0,0,13.0,S,1,244373,NONE,0,0,Unknown,1,1,2.6390573296152584,13.0,1,13.0,"(25.0, 30.0]","(10.5, 21.679]",male_2,"male_(25.0, 30.0]",S_2,"2_(10.5, 21.679]",1
19,3,female,31.0,1,0,18.0,S,0,345763,NONE,0,0,Unknown,2,0,2.9444389791664403,9.0,1,18.0,"(30.0, 40.0]","(10.5, 21.679]",female_3,"female_(30.0, 40.0]",S_3,"3_(10.5, 21.679]",0
20,3,female,21.5,0,0,7.225,C,1,2649,NONE,0,0,Unknown,1,1,2.107178296651436,7.225,1,7.225,"(20.0, 25.0]","(-0.001, 7.854]",female_3,"female_(20.0, 25.0]",C_3,"3_(-0.001, 7.854]",1
21,2,male,35.0,0,0,26.0,S,0,239865,NONE,0,0,Unknown,1,1,3.295836866004329,26.0,2,13.0,"(30.0, 40.0]","(21.679, 39.688]",male_2,"male_(30.0, 40.0]",S_2,"2_(21.679, 39.688]",0
22,2,male,34.0,0,0,13.0,S,0,248698,NONE,0,1,D,1,1,2.6390573296152584,13.0,1,13.0,"(30.0, 40.0]","(10.5, 21.679]",male_2,"male_(30.0, 40.0]",S_2,"2_(10.5, 21.679]",1
23,3,female,15.0,0,0,8.0292,Q,0,330923,NONE,0,0,Unknown,1,1,2.200463769927285,8.0292,1,8.0292,"(0.419, 20.0]","(7.854, 10.5]",female_3,"female_(0.419, 20.0]",Q_3,"3_(7.854, 10.5]",1
24,1,male,28.0,0,0,35.5,S,0,113788,NONE,0,1,A,1,1,3.597312260588446,35.5,1,35.5,"(25.0, 30.0]","(21.679, 39.688]",male_1,"male_(25.0, 30.0]",S_1,"1_(21.679, 39.688]",1
