iter	Logloss
0	0.6815199133
1	0.6698188929
2	0.6588886559
3	0.649001259
4	0.6406720774
5	0.6313215623
6	0.6222144388
7	0.6145288393
8	0.6076381091
9	0.5994335724
10	0.5917817274
11	0.5846055419
12	0.5780966681
13	0.5719891333
14	0.5656978133
15	0.5594042129
16	0.5541765974
17	0.5487471743
18	0.5446909932
19	0.5395396793
20	0.5350291218
21	0.5303781519
22	0.525904889
23	0.5219618601
24	0.5176777952
25	0.5134925006
26	0.5094628508
27	0.5056290998
28	0.5016443592
29	0.4979449221
30	0.4945473936
31	0.4910653937
32	0.4884999574
33	0.4856840483
34	0.4834028751
35	0.4805212739
36	0.4779732725
37	0.4751655366
38	0.4724004938
39	0.4696112219
40	0.4670457849
41	0.4644854214
42	0.4624902135
43	0.4604883865
44	0.458656729
45	0.4565584776
46	0.4546129796
47	0.4525519552
48	0.4506389664
49	0.4487078069
50	0.4474746035
51	0.4456197432
52	0.4440714683
53	0.4426349368
54	0.4408662133
55	0.4390096512
56	0.4373554211
57	0.4358450457
58	0.4344465731
59	0.4331156826
60	0.4319740333
61	0.4307807511
62	0.4296645328
63	0.4282771113
64	0.4269875462
65	0.425937627
66	0.4249770408
67	0.4240115979
68	0.4229187927
69	0.4217673895
70	0.420495338
71	0.4190531815
72	0.4180330427
73	0.417041113
74	0.4162238978
75	0.4154919928
76	0.4143789427
77	0.4139902259
78	0.4129978341
79	0.4122805475
80	0.4115698636
81	0.4109148358
82	0.4100698072
83	0.4091861198
84	0.4082586214
85	0.4078088466
86	0.4073165063
87	0.4067813598
88	0.4063478689
89	0.4057409546
90	0.4050348886
91	0.4045287856
92	0.4039767015
93	0.4033040795
94	0.4028717654
95	0.4022496883
96	0.4015994889
97	0.4012641462
98	0.4008588962
99	0.4005282976
100	0.3996835956
101	0.3993481412
102	0.3988081106
103	0.3983947994
104	0.3979302363
105	0.397518107
106	0.3971618144
107	0.3963779686
108	0.3958809933
109	0.3954657088
110	0.3950513696
111	0.3944903553
112	0.3942412326
113	0.3936995489
114	0.3933953646
115	0.3932351312
116	0.3930431924
117	0.3928957655
118	0.3925284113
119	0.3917764792
120	0.3911060913
121	0.390751408
122	0.3903267077
123	0.3900453504
