iter	Passed	Remaining
0	24	3056
1	48	2950
2	74	3017
3	101	3049
4	127	3029
5	154	3040
6	178	2987
7	188	2727
8	214	2740
9	240	2743
10	265	2727
11	289	2703
12	317	2707
13	342	2694
14	368	2675
15	392	2647
16	419	2638
17	447	2635
18	463	2559
19	485	2523
20	512	2513
21	539	2499
22	568	2494
23	595	2479
24	623	2470
25	649	2448
26	673	2418
27	698	2394
28	722	2367
29	748	2344
30	772	2317
31	797	2292
32	821	2266
33	847	2243
34	877	2232
35	909	2222
36	924	2173
37	954	2161
38	985	2148
39	1017	2136
40	1045	2116
41	1070	2090
42	1084	2043
43	1109	2018
44	1121	1969
45	1147	1946
46	1171	1919
47	1196	1895
48	1218	1864
49	1243	1840
50	1269	1816
51	1296	1794
52	1322	1771
53	1347	1746
54	1374	1724
55	1402	1703
56	1428	1679
57	1449	1649
58	1478	1628
59	1505	1605
60	1517	1567
61	1542	1542
62	1566	1516
63	1592	1492
64	1618	1468
65	1646	1447
66	1672	1422
67	1697	1397
68	1722	1373
69	1746	1347
70	1773	1323
71	1800	1300
72	1828	1277
73	1852	1251
74	1879	1228
75	1907	1204
76	1932	1179
77	1956	1153
78	1981	1128
79	2006	1103
80	2033	1079
81	2059	1055
82	2085	1030
83	2110	1004
84	2136	980
85	2163	955
86	2189	931
87	2215	906
88	2229	876
89	2255	852
90	2280	827
91	2305	801
92	2330	776
93	2358	752
94	2375	725
95	2400	700
96	2425	675
97	2450	650
98	2476	625
99	2505	601
100	2537	577
101	2563	552
102	2588	527
103	2614	502
104	2641	477
105	2667	452
106	2693	427
107	2720	403
108	2753	378
109	2780	353
110	2810	329
111	2842	304
112	2872	279
113	2902	254
114	2931	229
115	2961	204
116	2987	178
117	3013	153
118	3038	127
119	3065	102
120	3091	76
121	3116	51
122	3143	25
123	3170	0
